Line-number,x-coord,y-coord,width
0,490286.62964635924,-2291073.1593906684,5277.4395277532485
0,490161.84086799069,-2290989.9340896695,5267.9737662618772
0,490036.74305588478,-2290907.1772856233,5237.5253078012593
0,489911.08821668255,-2290825.2729123519,5192.891620426697
0,489784.92870322539,-2290744.1437769202,5167.2327783847413
0,489658.3502274304,-2290663.6611644034,5168.4422701031435
0,489530.87318271113,-2290584.6845921925,5170.9322968257193
0,489402.11257879349,-2290507.883738542,5162.5676164591405
0,489271.9983122698,-2290433.389231313,5153.0982414685004
0,489140.53615308704,-2290361.2009470654,5140.5475570448534
0,489007.88627432816,-2290291.2569040633,5139.8801243231665
0,488874.07726629468,-2290223.5785008101,5164.6753876716584
0,488739.2062957125,-2290158.0036242427,5187.337320598418
0,488603.53935635212,-2290094.016112634,5204.3179225645918
0,488467.98559275351,-2290029.7926947479,5218.5207194414261
0,488332.61153942213,-2289965.1947511155,5221.9916753587722
0,488197.48563730752,-2289900.0796945551,5227.9533660272673
0,488062.78030220594,-2289834.1113488651,5255.2115410998522
0,487928.75270525797,-2289766.8047472751,5299.4115036194225
0,487795.51817772753,-2289697.9420199115,5341.1292368957183
0,487663.35827268747,-2289627.0554227973,5366.0797559107586
0,487532.1037969616,-2289554.5416521248,5371.1442673112733
0,487401.60280050297,-2289480.7151932609,5362.0776765227183
0,487271.90798601415,-2289405.494549897,5356.593022562748
0,487143.07528637734,-2289328.7935432564,5374.2410653677043
0,487014.61826336628,-2289251.4239488058,5402.5722193037136
0,486886.27754771191,-2289173.8128483319,5443.7998167107262
0,486757.89693645568,-2289096.3055094741,5482.4154699506171
0,486629.4309966283,-2289018.9352451907,5515.7456316178668
0,486501.6638432903,-2288940.4230741649,5541.371555715933
0,486374.62292950973,-2288860.7333631287,5579.4841871226918
0,486248.27552318573,-2288779.9276917982,5625.1388604485082
0,486122.59687622497,-2288698.0577182607,5655.5325401365681
0,485998.79367948294,-2288613.4874412385,5664.1570298804754
0,485877.11918746942,-2288525.9813124319,5656.8681994058043
0,485757.79952085699,-2288435.320854852,5654.5600035054667
0,485641.0819730428,-2288341.2653389829,5659.4011620158753
0,485527.09778976289,-2288243.9295908613,5689.4902676291495
