(496901.43059620686, 6763113.1352384295),
 (497055.75058323878, 6763787.3776626717),
 (497055.75058323878, 6764686.3675616616),
 (497132.91057675472, 6765472.9837232782),
 (497364.39055730263, 6766484.3473596415),
 (497441.55055081862, 6766933.8423091369),
 (497287.2305637867, 6767495.7109960057),
 (497132.91057675472, 6768169.9534202479),
 (496901.43059620686, 6768956.5695818635),
 (496824.27060269087, 6769630.8120061066),
 (496669.95061565895, 6770417.4281677222),
 (496284.15064807911, 6771091.6705919653),
 (495898.35068049928, 6771541.1655414598),
 (495744.03069346736, 6772215.407965702),
 (495512.55071291944, 6772664.9029151974),
 (495589.71070643538, 6773563.8928141873),
 (495821.19068698329, 6774350.5089758029),
 (496129.83066104719, 6775249.4988747928),
 (495898.35068049928, 6776260.8625111571),
 (495744.03069346736, 6777047.4786727726), 
 (496361.31064159505, 6777721.7210970158),
 (496901.43059620686, 6778171.2160465103),
 (497595.87053785054, 6778957.8322081268),
 (498213.15048597829, 6779744.4483697424),
 (499139.07040816988, 6780081.5695818635),
 (499833.51034981356, 6780306.3170566112),
 (500527.95029145729, 6780531.0645313589),
 (501145.23023958504, 6781205.3069556011),
 (501839.67018122872, 6781654.8019050965),
 (502534.1101228724, 6782216.6705919653),
 (503151.39007100015, 6782441.4180667121),
 (503691.5100256119, 6782890.9130162075),
 (504308.78997373965, 6783340.407965702),
 (504771.74993483548, 6784014.6503899451),
 (505456.19505866623, 6784387.6442340687),
 (506198.74339004961, 6784871.9247661131),
 (506941.29172143294, 6785759.772408192),
 (507577.76171976153, 6786405.4797842503),
 (508320.31005114492, 6786889.7603162937),
 (509062.8583825283, 6787293.3274263302),
 (509752.36754738423, 6787696.8945363667),
 (510441.87671224022, 6788100.4616464032),
 (511396.58170973312, 6788826.8824444683),
 (511343.54254320578, 6789553.3032425335),
 (511343.54254320578, 6790521.8643066203),
 (511502.6600427879, 6791732.5656367298),
 (512192.16920764389, 6792781.8401228236),
 (512881.67837249988, 6793427.5474988818),
 (513624.22670388321, 6794073.25487494),
 (514578.9317013761, 6794638.2488289904),
 (515374.51919928688, 6794799.6756730052),
 (516223.14586372499, 6795203.2427830417),
 (516965.69419510837, 6795687.5233150851),
 (517814.32085954648, 6796171.8038471285),
 (517973.43835912866, 6797140.3649112154),
 (517708.24252649175, 6798108.9259753022),
 (517496.08586038218, 6798593.2065073457),
 (517177.85086121788, 6799319.6273054117),
 (516912.65502858098, 6800126.7615254838),
 (516753.5375289988, 6800853.1823235489),
 (516700.49836247147, 6801741.0299656289),
 (516806.57669552619, 6802871.0178737305),
 (517230.89002774528, 6804001.0057818322)
