Line-number,x-coord,y-coord,width
0,-157800.25057062908,-2276986.2810423491,40810.128417989916
0,-157677.96782798809,-2276899.4358874522,40219.098184386457
0,-157555.889306511,-2276812.3020402868,41295.86831439488
0,-157433.91008692089,-2276725.0221259822,44190.801566494905
0,-157312.02556527243,-2276637.60460719,48729.311910961696
0,-157190.31737387337,-2276549.9560285495,54564.055645957684
0,-157068.64959294916,-2276462.2728397972,61020.950533430499
0,-156946.76428408778,-2276374.9107214254,68156.71259038712
0,-156824.56391982161,-2276287.9849681207,74611.324022315064
0,-156701.94810302195,-2276201.6144214398,80466.666768454801
0,-156578.81345819458,-2276115.9790012045,85173.780149188955
0,-156455.03292341417,-2276031.3265176746,88267.317648848461
0,-156330.44448287346,-2275947.8820638419,89231.133481181838
0,-156204.88444587842,-2275865.8729543216,88139.099825849771
0,-156078.28719125933,-2275785.4479553741,85451.895771877171
0,-155950.79914616927,-2275706.4913936793,82412.394821762879
0,-155822.42321281481,-2275628.9882837459,80404.466708676846
0,-155693.15856202669,-2275552.9362370088,81439.791280428108
0,-155562.85172050158,-2275478.7361554001,80707.142364702697
0,-155431.24488946857,-2275406.9997000089,80118.768657807232
0,-155298.28288379702,-2275337.8081036448,79724.464590444142
0,-155163.91067098337,-2275271.2427982516,79421.431661566094
0,-155028.38329098283,-2275207.0755968872,79268.085061967839
0,-154891.75544216475,-2275145.3826908912,79287.852781277703
0,-154753.93077267372,-2275086.3825238575,79143.773770381435
0,-154614.84053449726,-2275030.2334259604,78638.05739531765
0,-154474.85040773562,-2274976.5066977111,77552.494865692788
0,-154333.9335904163,-2274925.3121612626,76488.199041763801
0,-154192.05229904418,-2274876.7716587083,74747.121796237945
0,-154049.13881536128,-2274831.4205020103,73360.565517682146
0,-153905.15014708776,-2274789.8830284751,72393.5345145561
0,-153760.10344383723,-2274752.1359337028,71890.221618122625
0,-153614.01341545695,-2274718.1600139784,71608.292813621592
0,-153467.28877015429,-2274687.3677379475,71499.654031212776
0,-153319.95536708683,-2274659.7391170375,71405.975517587314
0,-153172.00941741321,-2274635.2957217996,71479.241331777623
0,-153023.56557911611,-2274614.1492336718,71579.468400794314
